uid,category,region,band,weeknum,Cell_Avaiability,Attach_Setup_Success_Rate,RRC_Setup_Success_Rate,eRAB_Setup_Success_Rate_nGBR,VoLTE_Setup_Success_Rate_GBR,Call_Drop_Rate_eRAB_nGBR,VoLTE_Call_Drop_Rate_eRAB_GBR,HOSR_Intra_Frequency,HOSR_Inter_Frequency,X2_Handover_Out_Success_Rate,X2_Handover_In_Success_Rate,S1_Handover_Out_Success_Rate,S1_Handover_In_Success_Rate,DL_BLER,UL_BLER
Region-CENTRAL-2.3G-24Week 37,Region,CENTRAL,2.3G,24Week 37,99.7272,99.72890762,99.7992,99.921,99.8473,1.1215,0.2805,99.4802,99.7671,99.6719,99.6062,97.2777,98.9862,0.3738,0.2455
Region-NORTHERN-2.3G-24Week 37,Region,NORTHERN,2.3G,24Week 37,99.5271,99.65904795,99.7174,99.9353,99.8708,0.9151,0.3551,99.5022,99.5969,99.3021,99.6032,98.4956,98.7842,0.3039,0.1912
Region-SOUTHERN-2.3G-24Week 37,Region,SOUTHERN,2.3G,24Week 37,99.2274,99.63036102,99.7633,99.8604,99.8861,1.0331,0.305,99.6012,99.6708,99.3888,99.5457,98.5432,99.5781,0.3352,0.2158
Region-EASTERN-2.3G-24Week 37,Region,EASTERN,2.3G,24Week 37,99.3777,99.78801708,99.8425,99.9491,99.9121,1.2452,0.8036,99.2982,99.7548,99.4456,99.4075,42.8861,97.9175,0.2436,0.1803
Region-SABAH-2.3G-24Week 37,Region,SABAH,2.3G,24Week 37,99.2118,99.51441794,99.6499,99.927,99.8626,1.8067,0.4117,98.8514,99.2047,98.9391,99.0083,91.6036,93.9984,0.2796,0.2069
Region-SARAWAK-2.3G-24Week 37,Region,SARAWAK,2.3G,24Week 37,99.3908,99.59241266,99.693,99.8971,99.9498,1.5326,0.6185,96.349,97.9629,95.5342,100.005,39.0469,96.2015,0.3588,0.252
Region-CENTRAL-2.6G-24Week 37,Region,CENTRAL,2.6G,24Week 37,99.7681,99.77441091,99.8361,99.9339,99.7553,0.8966,0.204,99.5605,99.4381,99.6642,99.5698,91.4354,99.0801,0.4047,0.2174
Region-NORTHERN-2.6G-24Week 37,Region,NORTHERN,2.6G,24Week 37,99.8837,99.82047494,99.8743,99.946,99.7939,0.6927,0.1635,99.3865,99.629,99.1725,99.5407,98.3832,98.7098,0.3509,0.176
Region-SOUTHERN-2.6G-24Week 37,Region,SOUTHERN,2.6G,24Week 37,99.9415,99.76310984,99.8119,99.9446,99.8073,0.8174,0.1412,99.5073,99.5058,99.3855,99.662,98.202,98.9271,0.3873,0.1714
Region-EASTERN-2.6G-24Week 37,Region,EASTERN,2.6G,24Week 37,99.9039,99.82996434,99.8909,99.9627,99.7756,0.7769,0.2752,99.6684,99.7732,99.7154,99.5814,7.5824,98.8612,0.2418,0.1355
Region-SABAH-2.6G-24Week 37,Region,SABAH,2.6G,24Week 37,99.5823,99.67312674,99.7741,99.9506,99.8116,1.0172,0.2748,99.4582,99.1056,98.6235,99.1349,95.4927,96.3511,0.2913,0.1866
Region-SARAWAK-2.6G-24Week 37,Region,SARAWAK,2.6G,24Week 37,99.7249,99.25074161,99.4657,99.7705,99.7409,1.1377,0.4837,89.4682,99.3453,99.4029,92.4591,46.1473,81.0664,0.3112,0.2974
Region-CENTRAL-800M-24Week 37,Region,CENTRAL,800M,24Week 37,99.8061,98.91227496,99.2284,99.6622,99.5595,3.3512,0.5464,99.4013,98.6539,99.3706,99.3694,93.2691,98.7569,0.4808,0.7807
Region-NORTHERN-800M-24Week 37,Region,NORTHERN,800M,24Week 37,99.5623,99.01458692,99.3056,99.6976,99.6745,2.7071,0.6301,99.1474,99.4318,99.1152,99.2908,97.2405,98.6797,0.3485,0.6325
Region-SOUTHERN-800M-24Week 37,Region,SOUTHERN,800M,24Week 37,99.619,98.73639134,98.9713,99.7415,99.6459,2.8379,0.5667,99.0383,99.51,99.0879,99.4291,98.0725,98.0426,0.3647,0.6291
Region-EASTERN-800M-24Week 37,Region,EASTERN,800M,24Week 37,99.6256,99.06312132,99.3072,99.742,99.4829,2.4267,0.7935,99.3194,99.6621,99.411,99.2663,42.5759,97.6961,0.2909,0.6294
Region-SABAH-800M-24Week 37,Region,SABAH,800M,24Week 37,99.7325,98.36273931,98.8061,99.5992,99.5867,2.7147,0.9576,98.2203,97.8253,98.6815,98.2203,91.9753,98.0177,0.3576,0.7257
Region-SARAWAK-800M-24Week 37,Region,SARAWAK,800M,24Week 37,99.6334,98.33118823,98.7065,99.5835,99.5236,3.1499,1.0154,99.0662,94.0505,99.081,98.5858,31.6414,87.5591,0.3694,0.7713
All---2.3G-24Week 37,All,-,2.3G,24Week 37,99.4767,99.69370165,99.7741,99.915,99.8686,1.0897,0.3629,99.4784,99.7017,99.5192,99.5712,97.4312,99.0198,0.3332,0.22
All---2.6G-24Week 37,All,-,2.6G,24Week 37,99.8099,99.77922028,99.8392,99.9395,99.7768,0.8445,0.1934,99.5112,99.4774,99.5076,99.5521,93.8309,98.8493,0.3755,0.1963
All---800M-24Week 37,All,-,800M,24Week 37,99.6724,98.89010369,99.1818,99.6928,99.5952,2.9583,0.617,99.2126,98.9653,99.2327,99.3026,94.7419,98.4205,0.3884,0.692
All---All-24Week 37,All,-,All,24Week 37,99.6176,99.42042301,99.5716,99.8416,99.7132,1.6848,0.4633,99.3826,99.4527,99.4155,99.482,95.3032,98.6351,0.3655,0.4751
